Data da Coleta,Regiao - Sigla,Estado - Sigla,Municipio,Produto,Data da Coleta,Valor de Venda,Bandeira
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,29",RAIZEN
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"4,79",BRANCA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"5,49",IPIRANGA
2023-01-05,SE,SP,BAURU,GASOLINA,2023-01-05,"4,53",BRANCA
2023-01-05,SE,SP,CATANDUVA,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,SP,CATANDUVA,GASOLINA,2023-01-05,"5,65",BRANCA
2023-01-05,SE,SP,CRUZEIRO,GASOLINA,2023-01-05,"5,38",BRANCA
2023-01-05,SE,SP,CRUZEIRO,GASOLINA,2023-01-05,"5,48",BRANCA
2023-01-05,SE,SP,CRUZEIRO,GASOLINA,2023-01-05,"5,48",VIBRA ENERGIA
2023-01-05,SE,SP,MOGI GUACU,GASOLINA,2023-01-05,"5,49",IPIRANGA
2023-01-05,SE,SP,MOGI GUACU,GASOLINA,2023-01-05,"5,39",ALESAT
2023-01-05,SE,SP,MOGI GUACU,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,SP,MOGI GUACU,GASOLINA,2023-01-05,"5,49",RAIZEN
2023-01-05,SE,SP,MOGI GUACU,GASOLINA,2023-01-05,"5,69",BRANCA
2023-01-05,SE,SP,MOGI GUACU,GASOLINA,2023-01-05,"5,41",IPIRANGA
2023-01-05,SE,SP,MOGI MIRIM,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,SP,MOGI MIRIM,GASOLINA,2023-01-05,"5,95",IPIRANGA
2023-01-05,SE,SP,MOGI MIRIM,GASOLINA,2023-01-05,"5,69",IPIRANGA
2023-01-05,SE,SP,MOGI MIRIM,GASOLINA,2023-01-05,"4,79",BRANCA
2023-01-05,SE,SP,MOGI MIRIM,GASOLINA,2023-01-05,"4,78",BRANCA
2023-01-05,SE,SP,MOGI MIRIM,GASOLINA,2023-01-05,"4,79",BRANCA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,19",ALESAT
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,45",RAIZEN
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,29",ALESAT
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,39",RAIZEN
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,59",IPIRANGA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,69",IPIRANGA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,12",BRANCA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,58",VIBRA ENERGIA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,42",IPIRANGA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,45",RAIZEN
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,17",BRANCA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,15",BRANCA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,45",RAIZEN
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"4,95",BRANCA
2023-01-05,SE,SP,PIRACICABA,GASOLINA,2023-01-05,"5,17",BRANCA
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"4,99",BRANCA
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"5,49",VIBRA ENERGIA
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"5,39",IPIRANGA
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"5,79",RAIZEN
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"4,89",BRANCA
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"5,34",ALESAT
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"5,79",RAIZEN
2023-01-05,SE,SP,SAO JOSE DO RIO PRETO,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,09",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,97",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,69",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,89",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,99",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"6,99",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,49",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,19",TOTALENERGIES
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,59",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,07",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,59",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,94",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,89",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,87",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,19",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,85",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,39",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,97",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,19",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,49",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,39",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,69",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,09",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,69",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,49",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,29",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,99",RAIZEN
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"4,94",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,99",VIBRA ENERGIA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"6,99",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,19",BRANCA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,29",IPIRANGA
2023-01-05,SE,SP,SAO PAULO,GASOLINA,2023-01-05,"5,19",IPIRANGA
